Estacion,Municipio,Departamento,Latitud,Longitud,Elevacion_msnm,Promedio_Anual,Periodo_Medicion,Tipo_Dato,Unidad,Fuente,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Universidad Tecnológica de Magdalena,Santa Marta,Magdalena,11.22,-74.19,7,5.6064,sep-07 a dic-16 (8),Irradiacion_Global_kWh_m2_dia,kWh/m²/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 3",5.7469,6.0803,6.0821,6.0799,5.8745,5.7366,5.6891,5.3681,5.4923,4.8857,4.803,5.4385
ICA Villavicencio,Villavicencio,Meta,4.14,-73.63,444,4.7041,mar-07 a dic-16 (10),Irradiacion_Global_kWh_m2_dia,kWh/m²/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 3",5.2074,4.7415,4.3759,4.4066,4.4221,4.2426,4.3581,4.5852,5.2647,5.1034,4.8173,4.925
La Botana,Pasto,Nariño,1.16,-77.28,2820,3.7739,may-05 a dic-16 (11),Irradiacion_Global_kWh_m2_dia,kWh/m²/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 3",3.876,3.5528,3.479,3.6887,3.679,3.7123,3.8957,4.0012,4.1314,3.8449,3.8439,3.5817
Universidad Francisco de Paula Santander,Cúcuta,Norte de Santander,7.9,-72.49,311,5.3016,ene-06 a dic-16 (10),Irradiacion_Global_kWh_m2_dia,kWh/m²/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 3",5.0231,5.1419,4.7117,4.9729,5.4536,5.3239,5.4316,5.7208,6.1564,5.5746,5.2306,4.8785
El Pepino,Mocoa,Putumayo,1.08,-76.67,760,3.4848,ago-05 a dic-16 (8),Irradiacion_Global_kWh_m2_dia,kWh/m²/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 3",3.6222,3.4763,3.1577,3.5355,3.3212,2.8628,3.1242,3.1816,3.7444,3.9743,3.941,3.8763
Armenia,Armenia,Quindío,4.53,-75.69,1485,4.081,feb-06 a dic-16 (10),Irradiacion_Global_kWh_m2_dia,kWh/m²/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 3",4.1442,4.1336,4.057,3.9092,3.7248,3.8892,4.3581,4.399,4.5221,4.0034,4.0484,3.7827
Aeropuerto Matecaña,Pereira,Risaralda,4.82,-75.74,1342,4.2109,oct-90 a nov-96 (7),Irradiacion_Global_kWh_m2_dia,kWh/m²/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 3",4.2794,4.4063,4.2839,4.0997,3.8051,3.9405,4.2436,4.362,4.2732,4.3386,4.1833,4.3154
Aeropuerto Sesquicentenario,San Andrés,San Andrés y Providencia,12.54,-81.73,1,5.3131,jul-14 a dic-16 (2),Irradiacion_Global_kWh_m2_dia,kWh/m²/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 3",5.242,5.9539,6.4815,6.0381,5.6496,4.9309,5.58,5.2748,5.1034,4.7265,4.2957,4.4807
Unisucre (Puerta Roja),Sincelejo,Sucre,9.32,-75.39,160,4.3969,may-05 a dic-16 (5),Irradiacion_Global_kWh_m2_dia,kWh/m²/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 3",4.8439,4.9863,4.7947,4.3431,3.8994,4.51,4.5305,4.5176,4.3245,3.9961,3.7506,4.2657
Batallón Rooke,Ibagué,Tolima,4.42,-75.25,1323,4.6792,dic-06 a dic-16 (8),Irradiacion_Global_kWh_m2_dia,kWh/m²/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 3",4.5075,4.5465,4.5795,4.5329,4.556,4.9856,5.1603,4.9817,5.0881,4.6785,4.2307,4.3037
Univalle,Cali,Valle del Cauca,3.38,-76.53,996,4.521,nov-06 a dic-16 (9),Irradiacion_Global_kWh_m2_dia,kWh/m²/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 3",4.5688,4.5646,4.5262,4.4364,4.3133,4.4886,4.7629,4.8299,4.7949,4.4743,4.2247,4.2677
