FECHA,AÑO,PERIODO,EMPRESA,DEPARTAMENTO,ESTRATO,TARIFA
Abr-25**,2025,4,CELSIA COLOMBIA Valle,Valle del Cauca,2,521.17
May-25,2025,5,CELSIA COLOMBIA Valle,Valle del Cauca,2,524.61
Jun-25**,2025,6,CELSIA COLOMBIA Valle,Valle del Cauca,2,526.29
Jul-25,2025,7,CELSIA COLOMBIA Valle,Valle del Cauca,2,526.85
Ago-25,2025,8,CELSIA COLOMBIA Valle,Valle del Cauca,2,528.29
Sep-25,2025,9,CELSIA COLOMBIA Valle,Valle del Cauca,2,529.27
Oct-25,2025,10,CELSIA COLOMBIA Valle,Valle del Cauca,2,530.99
Nov-25,2025,11,CELSIA COLOMBIA Valle,Valle del Cauca,2,531.97
Dic-25,2025,12,CELSIA COLOMBIA Valle,Valle del Cauca,2,532.36
Ene-26,2026,1,CELSIA COLOMBIA Valle,Valle del Cauca,2,533.76
Feb-26,2026,2,CELSIA COLOMBIA Valle,Valle del Cauca,2,540.07
* Pesos corrientes,,,CELSIA COLOMBIA Valle,Valle del Cauca,2,0.011821792565947353
Mar-25,2025,3,CELSIA COLOMBIA Valle,Valle del Cauca,3,881.35
Abr-25**,2025,4,CELSIA COLOMBIA Valle,Valle del Cauca,3,773.29
May-25,2025,5,CELSIA COLOMBIA Valle,Valle del Cauca,3,759.58
Jun-25**,2025,6,CELSIA COLOMBIA Valle,Valle del Cauca,3,767.49
Jul-25,2025,7,CELSIA COLOMBIA Valle,Valle del Cauca,3,753.66
Ago-25,2025,8,CELSIA COLOMBIA Valle,Valle del Cauca,3,646.8
Sep-25,2025,9,CELSIA COLOMBIA Valle,Valle del Cauca,3,699.06
Oct-25,2025,10,CELSIA COLOMBIA Valle,Valle del Cauca,3,707.81
Nov-25,2025,11,CELSIA COLOMBIA Valle,Valle del Cauca,3,681.08
Dic-25,2025,12,CELSIA COLOMBIA Valle,Valle del Cauca,3,680.4
Ene-26,2026,1,CELSIA COLOMBIA Valle,Valle del Cauca,3,675.88
Feb-26,2026,2,CELSIA COLOMBIA Valle,Valle del Cauca,3,697.57
* Pesos corrientes,,,CELSIA COLOMBIA Valle,Valle del Cauca,3,0.03209149553175128
Mar-25,2025,3,CELSIA COLOMBIA Valle,Valle del Cauca,4,1036.88
Abr-25**,2025,4,CELSIA COLOMBIA Valle,Valle del Cauca,4,909.75
May-25,2025,5,CELSIA COLOMBIA Valle,Valle del Cauca,4,893.62
Jun-25**,2025,6,CELSIA COLOMBIA Valle,Valle del Cauca,4,902.93
Jul-25,2025,7,CELSIA COLOMBIA Valle,Valle del Cauca,4,886.66
Ago-25,2025,8,CELSIA COLOMBIA Valle,Valle del Cauca,4,760.94
Sep-25,2025,9,CELSIA COLOMBIA Valle,Valle del Cauca,4,822.42
Oct-25,2025,10,CELSIA COLOMBIA Valle,Valle del Cauca,4,832.72
Nov-25,2025,11,CELSIA COLOMBIA Valle,Valle del Cauca,4,801.27
Dic-25,2025,12,CELSIA COLOMBIA Valle,Valle del Cauca,4,800.47
Ene-26,2026,1,CELSIA COLOMBIA Valle,Valle del Cauca,4,795.15
Feb-26,2026,2,CELSIA COLOMBIA Valle,Valle del Cauca,4,820.54
* Pesos corrientes,,,CELSIA COLOMBIA Valle,Valle del Cauca,4,0.0319310821857511
Mar-25,2025,3,CELSIA COLOMBIA Valle,Valle del Cauca,"5 y 6, Ind y Com",1244.26
Abr-25**,2025,4,CELSIA COLOMBIA Valle,Valle del Cauca,"5 y 6, Ind y Com",1091.7
May-25,2025,5,CELSIA COLOMBIA Valle,Valle del Cauca,"5 y 6, Ind y Com",1072.34
Jun-25**,2025,6,CELSIA COLOMBIA Valle,Valle del Cauca,"5 y 6, Ind y Com",1083.52
Jul-25,2025,7,CELSIA COLOMBIA Valle,Valle del Cauca,"5 y 6, Ind y Com",1063.99
Ago-25,2025,8,CELSIA COLOMBIA Valle,Valle del Cauca,"5 y 6, Ind y Com",913.13
Sep-25,2025,9,CELSIA COLOMBIA Valle,Valle del Cauca,"5 y 6, Ind y Com",986.9
Oct-25,2025,10,CELSIA COLOMBIA Valle,Valle del Cauca,"5 y 6, Ind y Com",999.26
Nov-25,2025,11,CELSIA COLOMBIA Valle,Valle del Cauca,"5 y 6, Ind y Com",961.52
Dic-25,2025,12,CELSIA COLOMBIA Valle,Valle del Cauca,"5 y 6, Ind y Com",960.56
Ene-26,2026,1,CELSIA COLOMBIA Valle,Valle del Cauca,"5 y 6, Ind y Com",954.18
